step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
89,8233,89,0.23389098026721813,1.0,1.0,0.3271589410630986,1.0,1.0,,,,,,
90,8378,90,0.24638903210887086,1.0,1.0,,,,,,,,,
91,8691,91,0.254949932638136,0.0,0.0,,,,,,,,,
92,8756,92,0.30096664692810005,1.0,1.0,,,,,,,,,
93,8813,93,0.26761187077541504,1.0,1.0,,,,,,,,,
94,8870,94,0.2298471791362057,1.0,1.0,,,,,,,,,
95,8975,95,0.31438992353292783,1.0,1.0,,,,,,,,,
96,9048,96,0.39238183375564406,0.0,0.0,,,,,,,,,
97,9097,97,0.24165742274659957,1.0,1.0,0.2638410363913863,1.0,1.0,,,,,,
98,9130,98,0.11479157739067888,1.0,1.0,,,,,,,,,
99,9163,99,0.2767973937028728,1.0,1.0,,,,,,,,,
100,9212,100,0.2631543281682146,0.0,0.0,,,,,,,,,
101,9269,101,0.3204172316273408,0.0,0.0,,,,,,,,,
102,9342,102,0.3112013036767975,0.0,0.0,,,,,,,,,
103,9415,103,0.25571935937591156,0.0,0.0,,,,,,,,,
104,9520,104,0.2123221596824526,1.0,1.0,,,,,,,,,
105,9545,105,0.13250579733479145,1.0,1.0,0.3329070958658122,0.0,0.0,,,,,,
106,9610,106,0.2667707763132057,0.0,0.0,,,,,,,,,
107,9851,107,0.23443699494650597,1.0,1.0,,,,,,,,,
108,9924,108,0.2710225096195548,1.0,1.0,,,,,,,,,
109,10037,109,0.32412390561126553,0.0,0.0,,,,,,,,,
110,10078,110,0.2792712011444382,0.0,0.0,,,,,,,,,
111,10143,111,0.31090890747436795,1.0,1.0,,,,,,,,,
112,10176,112,0.11655941632343457,1.0,1.0,,,,,,,,,
113,10225,113,0.2245815297976757,0.0,0.0,0.2898598392511933,1.0,1.0,,,,,,
114,10338,114,0.2793623500042096,1.0,1.0,,,,,,,,,
115,10603,115,0.2912128429507434,1.0,1.0,,,,,,,,,
116,10700,116,0.22486115504956009,1.0,1.0,,,,,,,,,
117,10741,117,0.19030889442263288,1.0,1.0,,,,,,,,,
118,10766,118,0.21549934586898115,0.0,0.0,,,,,,,,,
119,10815,119,0.2511713414491775,0.0,0.0,,,,,,,,,
120,10872,120,0.2529403813833986,1.0,1.0,,,,,,,,,
121,10937,121,0.2621512277337388,1.0,1.0,0.11209381150965783,1.0,1.0,0.75,0.75,0.8181818181818182,0.8371212121212122,0.8945857601434792,0.7826086956521738
122,11178,122,0.22783611312437038,1.0,1.0,,,,,,,,,
123,11227,123,0.2105163342397039,1.0,1.0,,,,,,,,,
124,11276,124,0.1857433899604075,1.0,1.0,,,,,,,,,
125,11341,125,0.23303708963212558,1.0,1.0,,,,,,,,,
126,11390,126,0.2250702897387479,1.0,1.0,,,,,,,,,
127,11447,127,0.19795828560267442,1.0,1.0,,,,,,,,,
128,11496,128,0.18864094762830064,1.0,1.0,,,,,,,,,
129,11537,129,0.22033850887324657,1.0,1.0,0.18834693704520764,1.0,1.0,,,,,,
130,11738,130,0.24904698137690143,1.0,1.0,,,,,,,,,
131,11779,131,0.16001875495130666,1.0,1.0,,,,,,,,,
132,11876,132,0.3077453369129216,1.0,1.0,,,,,,,,,
133,12069,133,0.23032325092068887,1.0,1.0,,,,,,,,,
134,12118,134,0.3097776968575393,0.0,0.0,,,,,,,,,
135,12263,135,0.22752655224839044,1.0,1.0,,,,,,,,,
136,12336,136,0.2663429925627295,1.0,1.0,,,,,,,,,
137,12417,137,0.20056086239812432,1.0,1.0,0.2550374109577206,1.0,1.0,,,,,,
138,12442,138,0.19235235977685078,1.0,1.0,,,,,,,,,
139,12555,139,0.26180433825658317,1.0,1.0,,,,,,,,,
140,12628,140,0.2053797180354498,1.0,1.0,,,,,,,,,
141,12701,141,0.21508216844467096,1.0,1.0,,,,,,,,,
142,12734,142,0.1176592587684354,1.0,1.0,,,,,,,,,
143,12831,143,0.20067612661575066,1.0,1.0,,,,,,,,,
144,12960,144,0.23064930688460664,1.0,1.0,,,,,,,,,
145,12993,145,0.07690357363117073,1.0,1.0,0.2941923425134778,0.0,0.0,,,,,,
146,13018,146,0.16651951103809778,0.0,0.0,,,,,,,,,
147,13043,147,0.1685864362351519,1.0,1.0,,,,,,,,,
148,13076,148,0.08282423244090752,1.0,1.0,,,,,,,,,
149,13133,149,0.22606256507497163,1.0,1.0,,,,,,,,,
150,13190,150,0.22596152629983923,1.0,1.0,,,,,,,,,
151,13231,151,0.16290958631550895,1.0,1.0,,,,,,,,,
152,13296,152,0.2666619354989962,1.0,1.0,,,,,,,,,
153,13329,153,0.2264026643824764,1.0,1.0,0.30592134518293074,1.0,1.0,,,,,,
154,13386,154,0.19172667033765592,1.0,1.0,,,,,,,,,
155,13507,155,0.291151012415891,0.0,0.0,,,,,,,,,
156,13580,156,0.2544435497292499,1.0,1.0,,,,,,,,,
157,13605,157,0.0529750935966149,1.0,1.0,,,,,,,,,
158,13654,158,0.24728679270241022,1.0,1.0,,,,,,,,,
159,13703,159,0.17696972216072027,1.0,1.0,,,,,,,,,
160,14016,160,0.2309360690900704,1.0,1.0,,,,,,,,,
161,14065,161,0.2080313623698506,1.0,1.0,0.2243037023419068,0.0,0.0,,,,,,
162,14122,162,0.24111178588853882,1.0,1.0,,,,,,,,,
163,14179,163,0.18444428166494617,1.0,1.0,,,,,,,,,
164,14228,164,0.15043336130141444,1.0,1.0,,,,,,,,,
165,14309,165,0.2539386380751966,0.0,0.0,,,,,,,,,
166,14414,166,0.1907457787694669,1.0,1.0,,,,,,,,,
167,14503,167,0.20461359312136088,1.0,1.0,,,,,,,,,
168,14552,168,0.21307882953272686,1.0,1.0,,,,,,,,,
169,14617,169,0.23035099913031445,1.0,1.0,0.26830530311247763,1.0,1.0,,,,,,
170,14738,170,0.22101510747400804,1.0,1.0,,,,,,,,,
171,14787,171,0.2184335963305784,1.0,1.0,,,,,,,,,
172,14900,172,0.27451798705331903,1.0,1.0,,,,,,,,,
173,14973,173,0.2131916496805287,1.0,1.0,,,,,,,,,
174,15070,174,0.1834335617062152,1.0,1.0,,,,,,,,,
175,15311,175,0.26435703651984416,1.0,1.0,,,,,,,,,
176,15416,176,0.28586243313105886,1.0,1.0,,,,,,,,,
177,15961,177,0.24815189065617596,1.0,1.0,0.27372950449760536,1.0,1.0,,,,,,
178,16226,178,0.28617160106809525,1.0,1.0,,,,,,,,,
179,16283,179,0.23110534107295927,1.0,1.0,,,,,,,,,
180,16308,180,0.12213220241634798,1.0,1.0,,,,,,,,,
181,16501,181,0.22083459684657405,1.0,1.0,,,,0.7749999761581421,0.782608695652174,0.8181818181818182,0.8636363636363636,0.9067791391907597,0.8
182,16598,182,0.17931398875510543,1.0,1.0,,,,,,,,,
183,17143,183,0.2468969510222611,1.0,1.0,,,,,,,,,
184,17224,184,0.1809280734097411,1.0,1.0,,,,,,,,,
185,17281,185,0.1717557193840288,1.0,1.0,0.2811673503175067,0.0,0.0,,,,,,
186,17306,186,0.025406389258569105,1.0,1.0,,,,,,,,,
187,17331,187,0.11808600225122064,1.0,1.0,,,,,,,,,
188,17644,188,0.22746896045880186,1.0,1.0,,,,,,,,,
189,17701,189,0.21356907272046163,1.0,1.0,,,,,,,,,
190,17814,190,0.2420447206927617,1.0,1.0,,,,,,,,,
191,17943,191,0.2206315607812485,1.0,1.0,,,,,,,,,
192,18000,192,0.20241605336621948,1.0,1.0,,,,,,,,,
193,18049,193,0.21124471842971007,1.0,1.0,0.2816937172585832,0.0,0.0,,,,,,
194,18122,194,0.17878767133645146,1.0,1.0,,,,,,,,,
195,18163,195,0.10590818694723568,1.0,1.0,,,,,,,,,
196,18212,196,0.1830884127494452,1.0,1.0,,,,,,,,,
197,18477,197,0.2840599043336652,1.0,1.0,,,,,,,,,
198,18718,198,0.2600379446267713,1.0,1.0,,,,,,,,,
199,18775,199,0.17151876042615705,1.0,1.0,,,,,,,,,
200,18848,200,0.1931285114388072,1.0,1.0,,,,,,,,,
201,18945,201,0.18222290264526841,1.0,1.0,0.2948924641732219,1.0,1.0,,,,,,
202,18994,202,0.16582192811511048,1.0,1.0,,,,,,,,,
203,19027,203,0.058889656644214486,1.0,1.0,,,,,,,,,
204,19052,204,0.15256834667428243,1.0,1.0,,,,,,,,,
205,19197,205,0.2108073872504772,1.0,1.0,,,,,,,,,
206,19318,206,0.20790900565872183,1.0,1.0,,,,,,,,,
207,19383,207,0.20747387845985943,1.0,1.0,,,,,,,,,
208,19496,208,0.2626594291176486,1.0,1.0,,,,,,,,,
209,19601,209,0.18091586181140676,1.0,1.0,0.2648574036506874,1.0,1.0,,,,,,
210,19634,210,0.0578294062720488,1.0,1.0,,,,,,,,,
211,19707,211,0.20020061513286133,1.0,1.0,,,,,,,,,
212,19804,212,0.27931476119750487,1.0,1.0,,,,,,,,,
213,19853,213,0.1434620572957404,1.0,1.0,,,,,,,,,
214,19926,214,0.23338721582016056,1.0,1.0,,,,,,,,,
215,19975,215,0.19403944327423234,1.0,1.0,,,,,,,,,
216,20064,216,0.19546040442077028,1.0,1.0,,,,,,,,,
217,20089,217,0.12227619736028528,1.0,1.0,0.1822084133761564,1.0,1.0,,,,,,
218,20210,218,0.25417969588330985,1.0,1.0,,,,,,,,,
219,20251,219,0.11941041146434146,1.0,1.0,,,,,,,,,
220,20284,220,0.09344245392003359,1.0,1.0,,,,,,,,,
221,20333,221,0.1827487891863711,1.0,1.0,,,,,,,,,
222,20406,222,0.22838109726952907,1.0,1.0,,,,,,,,,
223,20647,223,0.22217235476718392,1.0,1.0,,,,,,,,,
224,20728,224,0.2258392754630768,1.0,1.0,,,,,,,,,
225,20777,225,0.1710358530489126,1.0,1.0,0.2922523280551445,1.0,1.0,,,,,,
226,20834,226,0.1819702888550637,1.0,1.0,,,,,,,,,
227,20883,227,0.13364807578279092,1.0,1.0,,,,,,,,,
228,20948,228,0.23474905880284494,1.0,1.0,,,,,,,,,
229,20981,229,0.19140231234196106,1.0,1.0,,,,,,,,,
230,21030,230,0.14324478422214876,1.0,1.0,,,,,,,,,
231,21095,231,0.19397386152459148,1.0,1.0,,,,,,,,,
232,21144,232,0.15315908494036798,1.0,1.0,,,,,,,,,
233,21193,233,0.25772315523354333,1.0,1.0,0.2989963548947708,1.0,1.0,,,,,,
234,21298,234,0.2726165279683371,1.0,1.0,,,,,,,,,
235,21363,235,0.21792960574084647,1.0,1.0,,,,,,,,,
236,21420,236,0.2229558834733325,1.0,1.0,,,,,,,,,
237,21461,237,0.174152000118047,1.0,1.0,,,,,,,,,
238,21662,238,0.24156401042725612,1.0,1.0,,,,,,,,,
239,21719,239,0.16145303052913473,1.0,1.0,,,,,,,,,
240,21744,240,0.10820767163531855,1.0,1.0,,,,,,,,,
241,21793,241,0.18254599862314838,1.0,1.0,0.3806592461636423,0.0,0.0,0.75,0.75,0.8181818181818182,0.8636363636363636,0.9063760555657893,0.7826086956521738
